prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
1,16,4096,total,7089.86083984375,100.0,9252.087390208875,44243.2
10,1,512,attention,33.22367990016937,41.58,8724.48088395009,14775.1
10,1,512,ffn,27.738111972808838,34.71,8724.48088395009,14775.1
10,1,512,other,18.948097348213196,23.71,8724.48088395009,14775.1
10,1,512,total,79.9098892211914,100.0,8724.48088395009,14775.1
10,1,2048,attention,72.11212837696075,34.1,9784.352629314088,15448.2
10,1,2048,ffn,101.05651235580444,47.79,9784.352629314088,15448.2
10,1,2048,other,38.2965692281723,18.11,9784.352629314088,15448.2
10,1,2048,total,211.4652099609375,100.0,9784.352629314088,15448.2
10,1,4096,attention,152.63744020462036,36.28,9773.618284301177,16345.8
10,1,4096,ffn,200.09471893310547,47.56,9773.618284301177,16345.8
10,1,4096,other,67.99666166305542,16.16,9773.618284301177,16345.8
10,1,4096,total,420.72882080078125,100.0,9773.618284301177,16345.8
10,4,512,attention,66.22003161907196,32.18,10106.01237348635,15448.2
10,4,512,ffn,101.74259066581726,49.45,10106.01237348635,15448.2
10,4,512,other,37.79891335964203,18.37,10106.01237348635,15448.2
10,4,512,total,205.76153564453125,100.0,10106.01237348635,15448.2
10,4,2048,attention,267.41862440109253,33.65,10307.1800530957,18140.8
10,4,2048,ffn,395.1472644805908,49.72,10307.1800530957,18140.8
10,4,2048,other,132.1072678565979,16.62,10307.1800530957,18140.8
10,4,2048,total,794.6731567382812,100.0,10307.1800530957,18140.8
10,4,4096,attention,584.8258581161499,35.88,10054.87483521585,21730.9
10,4,4096,ffn,786.704381942749,48.26,10054.87483521585,21730.9
10,4,4096,other,258.5067472457886,15.86,10054.87483521585,21730.9
10,4,4096,total,1630.0369873046875,100.0,10054.87483521585,21730.9
10,16,512,attention,244.74316883087158,31.71,10665.685108236048,18140.8
10,16,512,ffn,394.9834222793579,51.18,10665.685108236048,18140.8
10,16,512,other,132.07144355773926,17.11,10665.685108236048,18140.8
10,16,512,total,771.7980346679688,100.0,10665.685108236048,18140.8
10,16,2048,attention,1083.103229522705,34.31,10364.86598461677,28911.0
10,16,2048,ffn,1552.9697265625,49.19,10364.86598461677,28911.0
10,16,2048,other,521.1125907897949,16.51,10364.86598461677,28911.0
