prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
30,1,2048,total,168.13568115234375,100.0,12434.254273038687,13397.1
30,1,4096,attention,135.66566395759583,40.71,12397.834415814445,14294.6
30,1,4096,ffn,135.14547300338745,40.56,12397.834415814445,14294.6
30,1,4096,other,62.426106691360474,18.73,12397.834415814445,14294.6
30,1,4096,total,333.23724365234375,100.0,12397.834415814445,14294.6
30,4,512,attention,59.247615694999695,36.35,12822.074135044653,13397.1
30,4,512,ffn,68.7687680721283,42.19,12822.074135044653,13397.1
30,4,512,other,34.996219992637634,21.47,12822.074135044653,13397.1
30,4,512,total,163.01260375976562,100.0,12822.074135044653,13397.1
30,4,2048,attention,238.2755856513977,37.95,13101.3952119066,16089.7
30,4,2048,ffn,270.01139211654663,43.0,13101.3952119066,16089.7
30,4,2048,other,119.60218238830566,19.05,13101.3952119066,16089.7
30,4,2048,total,627.88916015625,100.0,13101.3952119066,16089.7
30,4,4096,attention,520.0128002166748,40.49,12765.237488129278,19679.7
30,4,4096,ffn,531.2153587341309,41.36,12765.237488129278,19679.7
30,4,4096,other,233.03270530700684,18.15,12765.237488129278,19679.7
30,4,4096,total,1284.2608642578125,100.0,12765.237488129278,19679.7
30,16,512,attention,218.99468851089478,35.94,13515.133994117967,16089.7
30,16,512,ffn,270.52748918533325,44.4,13515.133994117967,16089.7
30,16,512,other,119.78751468658447,19.66,13515.133994117967,16089.7
30,16,512,total,609.3096923828125,100.0,13515.133994117967,16089.7
30,16,2048,attention,943.4828777313232,38.5,13381.590559866832,26859.9
30,16,2048,ffn,1043.0996494293213,42.57,13381.590559866832,26859.9
30,16,2048,other,463.81249237060547,18.93,13381.590559866832,26859.9
30,16,2048,total,2450.39501953125,100.0,13381.590559866832,26859.9
30,16,4096,attention,2051.250171661377,40.33,12868.16997278387,41220.1
30,16,4096,ffn,2095.705093383789,41.2,12868.16997278387,41220.1
30,16,4096,other,939.634578704834,18.47,12868.16997278387,41220.1
30,16,4096,total,5086.58984375,100.0,12868.16997278387,41220.1
5,1,512,attention,34.7596800327301,42.52,9423.649871849673,15315.1
