prune_ratio,batch,seq_len,layer_type,time_ms,time_pct,throughput_tok_s,peak_vram_mb
10,16,512,total,685.0713500976562,100.0,12026.421658749572,18140.8
10,16,2048,attention,943.3651237487793,34.23,11904.00924097397,28911.0
10,16,2048,ffn,1344.6973457336426,48.79,11904.00924097397,28911.0
10,16,2048,other,467.8869934082031,16.98,11904.00924097397,28911.0
10,16,2048,total,2755.949462890625,100.0,11904.00924097397,28911.0
10,16,4096,attention,2036.9233932495117,35.65,11478.208992801327,43271.2
10,16,4096,ffn,2741.417999267578,47.98,11478.208992801327,43271.2
10,16,4096,other,935.3329238891602,16.37,11478.208992801327,43271.2
10,16,4096,total,5713.67431640625,100.0,11478.208992801327,43271.2
20,1,512,attention,34.035712003707886,44.34,10218.888925603676,13695.1
20,1,512,ffn,23.426047801971436,30.52,10218.888925603676,13695.1
20,1,512,other,19.298303365707397,25.14,10218.888925603676,13695.1
20,1,512,total,76.76006317138672,100.0,10218.888925603676,13695.1
20,1,2048,attention,63.333376288414,35.58,11670.654164195024,14368.2
20,1,2048,ffn,80.25599956512451,45.09,11670.654164195024,14368.2
20,1,2048,other,34.41356909275055,19.33,11670.654164195024,14368.2
20,1,2048,total,178.00294494628906,100.0,11670.654164195024,14368.2
20,1,4096,attention,134.0119035243988,38.16,11734.231848111602,15265.8
20,1,4096,ffn,155.22406721115112,44.2,11734.231848111602,15265.8
20,1,4096,other,61.93150973320007,17.64,11734.231848111602,15265.8
20,1,4096,total,351.16748046875,100.0,11734.231848111602,15265.8
20,4,512,attention,58.102784276008606,33.49,11988.394765890072,14368.2
20,4,512,ffn,80.77619218826294,46.56,11988.394765890072,14368.2
20,4,512,other,34.61427915096283,19.95,11988.394765890072,14368.2
20,4,512,total,173.49325561523438,100.0,11988.394765890072,14368.2
20,4,2048,attention,234.674174785614,35.52,12450.199102665141,17060.8
20,4,2048,ffn,306.03571128845215,46.31,12450.199102665141,17060.8
20,4,2048,other,120.06300210952759,18.17,12450.199102665141,17060.8
